Frequency (Hz)	Level (dB)
3960.937500	-54.150551
3966.796875	-60.697727
3972.656250	-66.324593
3978.515625	-65.958405
3984.375000	-61.271832
3990.234375	-64.518814
3996.093750	-68.644196
4001.953125	-68.460403
4007.812500	-64.972015
4013.671875	-63.650505
4019.531250	-67.482147
4025.390625	-70.320023
4031.250000	-70.561897
4037.109375	-68.032585
4042.968750	-67.339417
4048.828125	-64.502159
4054.687500	-65.372375
4060.546875	-67.912674
4066.406250	-67.002815
4072.265625	-69.079185
4078.125000	-69.181023
4083.984375	-70.528999
4089.843750	-69.933655
4095.703125	-67.527489
4101.562500	-65.121407
4107.421875	-60.724030
4113.281250	-58.223003
4119.140625	-59.963520
4125.000000	-67.177376
4130.859375	-70.545166
4136.718750	-70.180466
4142.578125	-69.581810
4148.437500	-66.381432
4154.296875	-66.218239
4160.156250	-67.136528
4166.015625	-65.265442
4171.875000	-59.129910
4177.734375	-53.873287
4183.593750	-47.336208
4189.453125	-45.029556
4195.312500	-53.252583
4201.171875	-59.422169
4207.031250	-58.224724
4212.890625	-59.593437
4218.750000	-64.957680
4224.609375	-67.032372
4230.468750	-65.708069
4236.328125	-67.959763
4242.187500	-62.339241
4248.046875	-59.851978
4253.906250	-65.797729
4259.765625	-69.150230
4265.625000	-69.593468
4271.484375	-67.655205
4277.343750	-64.294098
4283.203125	-63.924877
4289.062500	-67.486794
4294.921875	-66.486702
4300.781250	-60.095173
4306.640625	-58.344395
4312.500000	-60.674507
4318.359375	-65.715157
4324.218750	-69.595619
4330.078125	-69.512291
4335.937500	-66.572067
4341.796875	-59.056789
4347.656250	-52.135281
4353.515625	-52.145351
4359.375000	-54.780823
4365.234375	-60.630505
4371.093750	-64.499084
4376.953125	-61.800262
4382.812500	-64.119820
4388.671875	-63.028141
4394.531250	-56.602219
4400.390625	-54.008636
4406.250000	-57.549988
4412.109375	-63.618271
4417.968750	-65.652367
4423.828125	-62.828957
4429.687500	-56.455887
4435.546875	-52.337269
4441.406250	-51.524677
4447.265625	-55.744957
4453.125000	-61.424194
4458.984375	-63.213322
4464.843750	-64.948067
4470.703125	-67.495689
4476.562500	-68.783592
4482.421875	-69.192276
4488.281250	-69.665543
4494.140625	-67.372475
4500.000000	-62.950439
4505.859375	-62.121716
4511.718750	-65.738312
4517.578125	-69.959358
4523.437500	-70.790527
4529.296875	-68.885262
4535.156250	-66.450119
4541.015625	-67.282104
4546.875000	-68.355949
4552.734375	-68.512260
4558.593750	-66.370872
4564.453125	-65.010376
4570.312500	-64.409698
4576.171875	-64.714218
4582.031250	-67.915199
4587.890625	-67.915291
4593.750000	-63.602371
4599.609375	-60.528553
4605.468750	-55.454910
4611.328125	-53.189125
4617.187500	-54.652733
4623.046875	-59.442356
4628.906250	-66.985291
4634.765625	-64.782845
4640.625000	-64.040703
4646.484375	-68.827103
4652.343750	-69.538704
4658.203125	-69.138779
4664.062500	-68.940369
4669.921875	-67.288567
4675.781250	-65.109619
4681.640625	-62.200630
4687.500000	-58.508183
4693.359375	-53.443787
4699.218750	-50.506889
4705.078125	-49.360268
4710.937500	-52.424549
4716.796875	-61.026558
4722.656250	-64.230988
4728.515625	-65.044144
4734.375000	-66.057312
4740.234375	-68.460800
4746.093750	-69.443382
4751.953125	-69.955185
4757.812500	-70.531418
4763.671875	-66.142029
4769.531250	-62.152382
4775.390625	-65.016441
4781.250000	-67.749443
4787.109375	-69.960571
4792.968750	-69.275658
4798.828125	-69.319557
4804.687500	-70.645126
4810.546875	-70.954262
4816.406250	-70.719971
4822.265625	-70.258606
4828.125000	-66.961021
4833.984375	-62.142910
4839.843750	-64.089241
4845.703125	-68.770569
4851.562500	-70.183769
4857.421875	-70.762337
4863.281250	-69.554184
4869.140625	-67.318375
4875.000000	-66.551079
4880.859375	-68.045280
4886.718750	-66.614243
4892.578125	-64.813713
4898.437500	-62.853741
4904.296875	-66.021278
4910.156250	-71.217339
4916.015625	-71.225967
4921.875000	-70.466682
4927.734375	-68.642357
4933.593750	-64.209923
4939.453125	-61.878201
4945.312500	-64.972069
4951.171875	-68.900856
4957.031250	-64.929016
4962.890625	-60.481281
4968.750000	-58.740395
4974.609375	-54.096256
4980.468750	-51.266815
4986.328125	-58.263454
4992.187500	-61.978451
4998.046875	-60.040405
5003.906250	-60.740879
5009.765625	-61.802761
5015.625000	-65.995964
5021.484375	-69.179001
5027.343750	-63.885426
5033.203125	-63.903008
5039.062500	-68.678329
5044.921875	-68.340149
5050.781250	-65.705605
5056.640625	-65.478363
5062.500000	-69.118378
5068.359375	-70.125359
5074.218750	-69.815430
5080.078125	-66.358063
5085.937500	-59.839558
5091.796875	-57.167000
5097.656250	-61.347435
5103.515625	-66.920753
5109.375000	-69.185135
5115.234375	-70.459473
5121.093750	-71.098022
5126.953125	-70.030136
5132.812500	-69.716530
5138.671875	-69.687744
5144.531250	-69.898796
5150.390625	-70.071915
5156.250000	-64.831161
5162.109375	-61.210190
5167.968750	-58.395588
5173.828125	-54.219143
5179.687500	-54.701344
5185.546875	-57.220394
5191.406250	-65.097794
5197.265625	-67.961647
5203.125000	-68.289024
5208.984375	-67.966064
5214.843750	-64.226357
5220.703125	-53.773773
5226.562500	-49.893856
5232.421875	-51.267498
5238.281250	-54.288128
5244.140625	-60.812199
5250.000000	-66.344643
5255.859375	-66.061005
5261.718750	-60.733231
5267.578125	-56.399147
5273.437500	-53.724445
5279.296875	-52.839073
5285.156250	-56.748756
5291.015625	-59.977116
5296.875000	-64.544830
5302.734375	-69.084221
5308.593750	-69.903046
5314.453125	-70.385757
5320.312500	-69.975899
5326.171875	-70.056374
5332.031250	-69.981682
5337.890625	-70.601830
5343.750000	-71.091675
5349.609375	-70.081009
5355.468750	-66.253510
5361.328125	-67.263977
5367.187500	-70.730042
5373.046875	-70.856514
5378.906250	-70.020325
5384.765625	-69.440781
5390.625000	-70.444084
5396.484375	-70.507950
5402.343750	-69.654121
5408.203125	-69.008614
5414.062500	-69.051003
5419.921875	-63.488659
5425.781250	-63.391911
5431.640625	-64.723236
5437.500000	-67.000786
5443.359375	-69.537384
5449.218750	-70.006317
5455.078125	-70.385826
5460.937500	-68.480354
5466.796875	-64.464294
5472.656250	-59.232895
5478.515625	-53.307213
5484.375000	-52.710556
5490.234375	-54.009083
5496.093750	-58.334072
5501.953125	-66.762749
5507.812500	-68.987831
5513.671875	-69.673546
5519.531250	-69.940697
5525.390625	-70.404808
5531.250000	-70.358955
5537.109375	-68.324333
5542.968750	-68.279457
5548.828125	-65.939438
5554.687500	-64.970795
5560.546875	-69.236908
5566.406250	-68.126831
5572.265625	-67.435310
5578.125000	-68.977425
5583.984375	-63.124496
5589.843750	-56.798393
5595.703125	-52.333565
5601.562500	-53.166115
5607.421875	-63.795101
5613.281250	-64.452232
5619.140625	-59.944382
5625.000000	-61.869785
5630.859375	-67.434372
5636.718750	-69.786629
5642.578125	-70.713737
5648.437500	-71.195282
5654.296875	-70.704613
5660.156250	-69.686844
5666.015625	-67.633484
5671.875000	-61.498703
5677.734375	-62.033031
5683.593750	-65.407036
5689.453125	-69.001991
5695.312500	-71.787392
5701.171875	-72.164444
5707.031250	-70.048866
5712.890625	-67.499184
5718.750000	-67.810760
5724.609375	-65.790031
5730.468750	-67.064758
5736.328125	-66.578758
5742.187500	-61.289776
5748.046875	-58.317284
5753.906250	-60.825699
5759.765625	-65.376907
5765.625000	-68.105789
5771.484375	-68.802559
5777.343750	-67.742233
5783.203125	-67.593742
5789.062500	-70.552315
5794.921875	-71.510269
5800.781250	-72.064240
5806.640625	-71.752258
5812.500000	-68.377464
5818.359375	-69.119698
5824.218750	-70.363930
5830.078125	-71.581810
5835.937500	-72.067200
5841.796875	-72.187721
5847.656250	-72.298088
5853.515625	-71.856476
5859.375000	-69.962990
5865.234375	-63.734295
5871.093750	-57.088924
5876.953125	-56.220539
5882.812500	-62.971619
5888.671875	-68.071510
5894.531250	-70.841064
5900.390625	-71.142776
5906.250000	-66.256210
5912.109375	-61.569256
5917.968750	-54.813599
5923.828125	-52.494251
5929.687500	-53.965702
5935.546875	-56.074730
5941.406250	-65.284409
5947.265625	-68.497269
5953.125000	-70.848030
5958.984375	-71.423035
5964.843750	-71.459496
5970.703125	-70.728310
5976.562500	-69.320282
5982.421875	-67.830070
5988.281250	-69.872238
5994.140625	-71.559738
6000.000000	-69.986801
6005.859375	-64.292641
6011.718750	-63.179401
6017.578125	-68.605194
6023.437500	-70.788544
6029.296875	-71.543175
6035.156250	-71.983727
6041.015625	-71.783394
6046.875000	-71.896141
6052.734375	-71.618568
6058.593750	-70.365646
6064.453125	-67.932716
6070.312500	-67.902184
6076.171875	-68.705154
6082.031250	-69.598633
6087.890625	-68.650848
6093.750000	-66.220810
6099.609375	-66.914871
6105.468750	-69.463852
6111.328125	-70.763771
6117.187500	-71.199333
6123.046875	-71.734764
6128.906250	-69.292793
6134.765625	-63.820377
6140.625000	-62.097885
6146.484375	-65.828560
6152.343750	-64.434944
6158.203125	-60.740082
6164.062500	-62.093117
6169.921875	-66.538589
6175.781250	-69.246536
6181.640625	-69.749069
6187.500000	-70.323090
6193.359375	-70.385078
6199.218750	-70.213661
6205.078125	-63.661564
6210.937500	-55.688438
6216.796875	-53.424469
6222.656250	-52.805759
6228.515625	-57.510426
6234.375000	-70.113373
6240.234375	-70.368118
6246.093750	-68.762924
6251.953125	-64.317818
6257.812500	-59.799019
6263.671875	-53.693039
6269.531250	-50.012974
6275.390625	-48.856556
6281.250000	-51.578327
6287.109375	-56.347553
6292.968750	-61.731812
6298.828125	-61.013969
6304.687500	-61.932579
6310.546875	-64.908722
6316.406250	-67.952835
6322.265625	-69.502991
6328.125000	-70.060219
6333.984375	-69.342110
6339.843750	-69.232964
6345.703125	-70.480110
6351.562500	-70.457001
6357.421875	-70.741341
6363.281250	-67.121841
6369.140625	-65.710892
6375.000000	-68.007027
6380.859375	-70.966827
6386.718750	-71.863770
6392.578125	-71.654793
6398.437500	-68.396530
6404.296875	-67.411484
6410.156250	-69.333931
6416.015625	-69.418854
6421.875000	-70.699715
6427.734375	-71.325890
6433.593750	-71.973503
6439.453125	-71.633904
6445.312500	-70.677895
6451.171875	-69.423080
6457.031250	-68.589714
6462.890625	-68.718964
6468.750000	-68.900475
6474.609375	-71.151688
6480.468750	-72.041992
